Description,Pathway.geneSymbol,Overlapping.geneSymbol,Overlapping.geneID,Count,GeneRatio,pvalue,p.adjust
negative regulation of cellular protein metabolic process (GO:0032269),EDN1/EIF2AK2/SAMD4B/RPL13A/EIF2AK3/TSC1/CNOT10/SAMD4A/ILF3/MEX3D/MEX3A/LIN28A/CNOT7/MEX3C/DNAJC1/MEX3B/CNOT8/CNOT1/CDK5/CNOT2/CNOT3/CALR/CNOT9/EIF4E2/CPEB3/DDX3X/BTG2/SERPINE2/SHMT1/TYMS/TOB1/KNG1/FXR2/FXR1/RIDA/AKT1/RPS3/TM4SF20/NANOS2/NANOS3/ZNF540/RIC1/NANOS1/SERPINB3/DAPK1/IGFBP5/DAPK3/PRG3/F2/NFKB1/PATL2/DHFR/DAB2IP/GIGYF2/CAPRIN1/NELL1/RGP1/NCL/GAPDH/GRB7/EIF4A3/HDAC6/CSTB/CSTA/FMR1/TRIM71/MALSU1/EPRS/PLAT/INS/ATRAID/CLN8/LARP1/RBM4/CST4/CST3/CLN3/SYNCRIP/EDNRB/BAG6/CAMK2N1/RNF139/ENC1/IGF2BP2/IGF2BP1/APOE/IGF2BP3/RACK1/CDK5RAP3,EIF4E2/AKT1/GIGYF2/PLAT/LARP1,NA,5,5/374,0.0274840216332942,1
nuclear polyadenylation-dependent ncRNA catabolic process (GO:0071046),EXOSC8/EXOSC7/EXOSC10/EXOSC9/EXOSC3/EXOSC2,EXOSC8/EXOSC3/EXOSC2,NA,3,3/374,6.28196472893464e-06,0.0320568660117535
intracellular protein transmembrane transport (GO:0065002),SRP19/SRP9/C2CD5/SRP72/ZFAND2B/PEX6/SRP54/SEC61B/AKT2/HYOU1/PEX14,SRP19/SRP72/SRP54/HYOU1,NA,4,4/374,4.52774160935751e-06,0.0231050654325514
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161),FBXO2/AMFR/ARMC8/YOD1/BTBD11/PSMB9/CDC20/PML/RNF103/PSMC6/APC/PSMC4/PSMC5/PSMC2/CDC16/PSMC3/PSMC1/NHLRC1/RBCK1/NHLRC3/RNF222/TP53/TRIM13/HECW1/CCNF/RNF7/RNF6/ARNTL/PSMB11/RNF4/PSMB10/AMER1/PSMD9/FBXL22/PSMD7/MTA1/CDC23/FZR1/RNF115/PSMD8/FBXL20/PSMD5/HERC2/TMEM67/CDC26/PSMD6/PSMD3/CDC27/PSMD4/PSMD1/PSMD2/TBL1X/BTRC/GTSE1/RNF111/RFFL/SIAH1/PLK1/EDEM1/ERLIN2/ERLIN1/TOPORS/NPLOC4/ABTB2/ABTB1/PSME4/HECW2/FBXL2/PSME2/PSME3/FBXL3/PSME1/FBXL5/DZIP3/FBXL7/ANAPC15/ANAPC16/NEDD4L/ANAPC10/UBE2J1/ANAPC11/UBE2J2/RNF216/KAT5/PCBP2/PSMF1/SKP1/SKP2/CSNK1A1/TMUB1/UBE2G2/SIRT1/SIRT2/KBTBD4/RNF145/UBXN1/SEL1L/KIF14/TRIM9/ATXN3/UCHL1/SEC61B/UBXN8/UBXN4/RPS27A/WWP1/UBE4A/UBE4B/WWP2/SYVN1/UBE2E1/ITCH/SPSB4/PSMA6/GID4/PSMA7/SPSB3/DDB1/SPSB2/PSMA4/RNF126/PSMA5/SPSB1/RFWD2/PSMA2/PSMA3/PSMA1/NEDD4/JKAMP/RLIM/RNF121/RNF122/FAF1/CTNNB1/FAF2/DERL2/DERL3/DERL1/PSMA8/PSMB7/PSMB8/PSMB5/PSMB6/C18ORF25/PSMB3/PSMB4/OS9/RNF139/PSMB1/PSMB2/FBXW5/RNF44/FBXW4/FBXW7/UBE2C/FBXW11/CRBN/BTBD6/FBXO15/UBE2A/UBE2B/BTBD9/KLHL20/RBX1/UBE2W/NSFL1C/TBL1XR1/UBE2S/UBXN11/SELENOS/BUB1B/UBE2U/RNF185/UBE2K/RNF187/PLAA/MAD2L1/PRKN/RNF34/UBXN2B/UBE2D3/RNF38/UBXN2A/AURKA/UBE2D1/UBE3A/AUP1/HSP90B1/AURKB/PCNP/TMEM129/PTTG1/TBX21/SPOP/WFS1/USP44/FBXO39/FBXO31/DNAJC10/UBE2R2/STT3B/RNF165/BIRC2/MDM2/VCP/KLHL15/RNF181/CUL3/KLHL11/CUL1/LTN1/MAEA/CCNB1/BAG6/BTBD2/UBC/BTBD1/UBB/BTBD3/RNF175/ANKZF1/HSPA5/SMURF2/SMURF1/PPP2R5C/AXIN1/BFAR/NEMF/MARCH6/CUL4A/CDK1/SPOPL/NFE2L2/PSMD11/PSMD10/PSMD13/GSK3B/GSK3A/PSMD12/PSMD14/AGAP3/TNFAIP1/UBR3/UBR2/UBR1/FBXO45/SHARPIN/ERLEC1/DNAJB9/RNF24/SGTA/FBXL18/FBXL19/KCTD2/KCTD5/FBXL15/KLHL42/TAF1/CDC34/KCTD10/MAN1B1/ANAPC4/ERCC8/ANAPC5/DDIT3/ANAPC7/KCTD13/STUB1/UBA52/ANAPC1/ANAPC2/CLOCK/KCTD17/RNF11/ARRB2/USP19/FOXRED2/ZNRF1/ZNRF2/RMND5A/RMND5B/HECTD3/ARRB1/HECTD4/UBQLN2/UBQLN1/FBXO4/FBXO6/DCAF11/FBXO9/BUB3,PSMD8/SIAH1/UBXN8/OS9/RBX1/SELENOS/AURKA/WFS1/UBC/CDK1/ERLEC1/FOXRED2,NA,12,12/374,0.0392297896092853,1
nuclear pore organization (GO:0006999),NUP205/RTN4/TMEM170A/NUP107/SEH1L/AHCTF1/NDC1/NUP153/NUP133/NUP93/NUP98/TPR/TMEM33/NUP54/NUP35,RTN4/NUP98/NUP54,NA,3,3/374,0.00047519049036198,1
positive regulation of cell adhesion mediated by integrin (GO:0033630),NCOA3/RET/FOXC2/TGFB2/SYK/NCKAP1L/CCL21/PIEZO1/CIB1/SFRP2/CXCL13/PODXL/CCL5/ADAM9,ADAM9,NA,1,1/374,0.049248425143498,1
transforming growth factor beta receptor signaling pathway (GO:0007179),TGFB1/ACVR1/RHOA/TGFB3/JUN/TGFB2/GDF15/USP9X/USP9Y/SMURF1/FSHB/CGN/FOXH1/SIRT1/TGFBR1/TGFBR2/GDF10/TGFBR3/COL1A2/EID2/SKI/COL3A1/ID1/ZYX/ADAM9/BMPR1A/UBE2M/ACVRL1/CITED1/WFIKKN2/ZFYVE9/HPGD/TGFBRAP1/PTPRK/NEDD8/DUSP15/PARD6A/CDH5/MAP3K7/RPS27A/SMAD3/SMAD2/LEFTY2/SMAD5/LEFTY1/SMAD4/ARHGEF18/SMAD1/KLF10/FOS/PARD3/GDF5/GDF9/PTK2/FERMT2/FKBP1A/TWSG1/CLDN5/PRKCZ/DUSP22/FMOD/UBA52/USP15/SRC/PXN/FURIN/ITGB5/GCNT2/ARRB2/F11R/CBL/LTBP2/NLK/UBC/FNTA/UBB,RHOA/GDF15/ADAM9/UBC,NA,4,4/374,0.046444617200425,1
positive regulation of cellular protein metabolic process (GO:0032270),TGFB1/HSP90AA1/RDX/FBXW11/IST1/BAD/MSN/UQCC2/ATG10/UPF3B/LARP4B/UPF3A/SAMD4A/PASK/AGT/LARP4/LARP6/NFKBIA/IL6/BCL3/VIM/RPL26/CD28/AGTR1/OGT/HNRNPD/CPEB3/CYFIP2/DDX3X/CSF1/FAM129A/RPS27L/ELAVL1/AMER1/FXR2/FXR1/CASP8/ERBB2/PERP/AKT1/CAPN3/VPS11/FADD/BTRC/DACT1/ADIPOQ/YTHDF1/NPM1/YTHDF3/PLK1/NR1H3/NR1H2/WNT7A/INHBA/ASPSCR1/PYM1/CIRBP/EEF2/MTOR/KLF4/EIF6/RPS6KB1/PLA2G10/ASPH/EIF4G1/PRR16/TRIM32/EIF3D/FGFR4/EIF3E/EZR/AURKAIP1/EIF3C/RPL5/EIF4A3/PIWIL2/POLDIP3/FMR1/HDAC2/UHRF1/PTTG1IP/THBS1/INS/CLN6/RPS4X/SOX4/RBM3/BAK1/VPS35/ATG7/TBC1D10A,RDX/LARP4B/VIM/AKT1/VPS11/HDAC2,NA,6,6/374,0.00912204963395251,1
positive regulation of transmembrane transport (GO:0034764),P2RX7/CA2/PDCD5/ANO6/AZIN2/SLC26A6/AZIN1,ANO6,NA,1,1/374,0.0127977214204242,1
cellular response to alcohol (GO:0097306),DYNAP/GPLD1/OSBPL7/JUP/PTCH1/SPIDR/RAD51/GNB1/SMO/TNFSF4/BLM/PTGER2/CTNNB1/PTGER4/LRP6/MLC1/BRCA1/CYP7A1/SFRP1/ADCY7/ADCY6/GLRA1/GNG2/LARP1/GLRA2/CDH1/CTNNA1/PTGDR,GNB1/LARP1,NA,2,2/374,0.0346570747300981,1
regulation of Golgi organization (GO:1903358),MAP2K2/USP6NL/STX18/MAP2K1/PDE4DIP/AKAP9/RBSN/CAMSAP2/RAB33B/CAMSAP3/EHD3/MAPK3/MAPK1/STX5,PDE4DIP/AKAP9,NA,2,2/374,0.0050201913147524,1
import across plasma membrane (GO:0098739),KCNJ5/HCN4/KCNJ8/LRP2/SLC46A1/FXYD2/ATP1A2/ATP1A1/ATP1B1/KCNJ3/HCN2,ATP1B1,NA,1,1/374,0.0313121388414287,1
"nuclear-transcribed mRNA catabolic process, exonucleolytic (GO:0000291)",TTC37/PATL1/DIS3/LSM2/LSM1/LSM6/LSM5/LSM4/LSM3/NT5C3B/CNOT6/CNOT7/CNOT8/LSM7/WDR61/SKIV2L/DCP1B/DCP1A/DCP2/DDX6/HBS1L/EDC3/EDC4/EXOSC8/EXOSC7/EXOSC6/EXOSC5/EXOSC9/POLR2G/EXOSC4/EXOSC3/DCPS/DIS3L2/EXOSC2/EXOSC1,EXOSC8/EXOSC5/EXOSC3/EXOSC2,NA,4,4/374,0.00191147971650645,1
positive regulation of cytoplasmic transport (GO:1903651),MTMR2/PRKN/DAB2/RAB21/RDX/MSN/VPS11/PTPN23/SORL1/EZR,RDX/VPS11,NA,2,2/374,0.00178695278804473,1
DNA metabolic process (GO:0006259),EGF/ENDOG/DUT/TREX2/HUS1/RECQL/REV1/WDHD1/EID3/NUP98/ASF1A/DNA2/RHNO1/TP53/RAN/SMARCAL1/SMARCB1/TRRAP/SP100/PNKP/BACH1/CHEK1/NTHL1/RAD54L/PCLAF/TIPIN/LONP1/ZRANB3/XRCC5/XRCC6/GADD45A/TOP3A/XRCC3/INTS3/TOP3B/XRCC1/XRCC2/CSNK1E/IGF1/TERF1/TERF2/SETMAR/SUPV3L1/FAM111A/PSME4/GRWD1/TDP1/RAD17/RAD18/MMS19/SET/MUS81/XPA/ZBTB1/MBD3L5/PRKDC/XPC/MBD3L3/MBD3L4/MBD3L1/MBD3L2/RBPJ/ALKBH3/BRIP1/KAT5/ALKBH1/TREX1/KAT7/BARD1/ZNF365/ACD/CTC1/UPF1/NCOA6/RMI1/PTGES3/RMI2/DNTT/CDC7/CDC6/PALB2/SIRT1/RAD51C/RAD51B/RAD51D/ARTN/DMC1/ATM/ATR/CENPS/ACHE/DOT1L/EXD2/TOP2B/BTG2/PIF1/TOP2A/IGHMBP2/BRCA1/BRCA2/RAD51AP1/ERI1/ERI2/TERT/ERI3/TK1/RPS27A/MBD4/NPM1/DFFB/HELLS/PARP4/MGMT/PARP2/MBD1/PARP3/MBD2/MBD3/PARP1/CHD1L/RPA2/GTF2H1/RPA3/GTF2H3/RPA1/GTF2H4/KIN/DDB2/DDB1/RPA4/APEX1/TIMELESS/UBE2V2/DNASE1L3/DNASE1L1/DNASE1L2/FEN1/SMG1/PRIM2/PRIM1/NUDT1/PTMS/UNG/RPAIN/ING5/RECQL5/RECQL4/ING4/WRN/NUDT15/UVRAG/GEN1/USP7/LIG1/GINS4/USP3/CDC25A/DONSON/INIP/LIG4/UBE2A/LIG3/MSH2/UBE2B/TATDN1/HINFP/CDC25C/MSH3/POLE2/UBE2T/FANCD2/POLE3/UBE2U/MSH6/POLE4/SLX1A/MRE11/UBE2N/PCNA/DCLRE1B/CHRNA4/PARK7/TYMS/NT5E/SLX4/TATDN2/TATDN3/TBRG1/PURA/NT5M/SMARCAD1/RBBP8/RPS3/KPNA2/FANCL/IGFBP4/NABP1/USP45/FANCA/FANCC/NASP/RNASEH1/FANCG/NABP2/POLG2/RNASEH2A/DNMT1/MNAT1/RAD9A/RAD9B/BLM/VCP/PDS5B/PDS5A/HELB/CLSPN/UBC/UBB/MEN1/RAG1/RFC4/RFC5/RFC2/RFC3/RFC1/AXIN2/LRWD1/NAP1L1/TICRR/SMC1A/POLA1/POLA2/NSMCE4A/IRF4/CDK2/MCM4/RBMS1/CDK1/MCM5/DCTPP1/MCM6/DNASE2/MCM7/TOP1/FAN1/MCM2/TERF2IP/MCM3/HMGB3/MCM10/HMGB1/TNFAIP1/ADRA1D/HMGB2/SPHAR/RTEL1/ORC6/ORC5/RAD21/ORC2/ORC1/ORC4/ORC3/TOP1MT/TOPBP1/RBM14/ATRIP/MUTYH/TCF7L2/STN1/ATRX/NSMCE3/GLRX2/MTOR/RAD50/TSN/ERCC1/CDC34/RAD51/RAD52/DBF4/ERCC4/THAP9/ERCC3/PAPD7/KCTD13/NOP53/UBA52/TELO2/HDAC1/MCM8/UHRF2/UHRF1/POLD4/ENDOV/POLB/CBS/CDC45/POLE/EXO1/POLD1/SUMO1/POLD2/POLD3/TDG/POLK/FBXO6/POLL/TRIM28/POLG/INSL3/INSL6/POLI/POLH,NUP98/PRKDC/UPF1/PRIM2/PRIM1/DNMT1/UBC/POLA1/POLA2/CDK2/CDK1/DCTPP1/MCM7/MCM2,NA,14,14/374,0.0165733033467787,1
regulation of mammary gland epithelial cell proliferation (GO:0033599),GPX1/RTN4/DEAF1/MST1/ZNF703/RREB1/BRCA2/GATA3/MST1L/ROBO1,GPX1/RTN4,NA,2,2/374,0.00178695278804473,1
establishment of apical/basal cell polarity (GO:0035089),RHOA/MSN/FOXJ1/SCRIB/MYO9A/SYNE4/SLC9A3R1/CAMSAP3/CDC42/SH3BP1/OPHN1/FSCN1,RHOA/SLC9A3R1,NA,2,2/374,0.00315265152326192,1
neuron maturation (GO:0042551),APP/CLN5/MTCH1/FARP2/EPHA8/PICK1/SCARF1/ANKS1A/RND1,MTCH1,NA,1,1/374,0.0212031977277593,1
interleukin-17-mediated signaling pathway (GO:0097400),IL17A/IL17RA/IL25/IL17F/IL17RE/IL17C/IL17RC/IL17RB,IL17RA,NA,1,1/374,0.0167747462928842,1
positive regulation of extracellular matrix organization (GO:1903055),DDR2/SMAD3/TGFB1/CARMIL2/RGCC/PDPN/MELTF/CLASP1/FSCN1/COLGALT1/CLASP2,COLGALT1,NA,1,1/374,0.0313121388414287,1
anoikis (GO:0043276),STK11/DAPK2/PIK3CA/AKT1/TSC2/BMF/IKBKG/MAP3K7/MTOR,AKT1,NA,1,1/374,0.0212031977277593,1
regulation of viral process (GO:0050792),APCS/TSG101/APOBEC3F/APOBEC3G/APOBEC3H/VPS4B/TMEM250/TARBP2/LAMP3/MVB12B/CHMP3/CHMP4C/CHMP2A/MVB12A/CHMP4B/LTF/MBL2/RAB7A,CHMP2A/RAB7A,NA,2,2/374,0.0104273578547051,1
G2/M transition of mitotic cell cycle (GO:0000086),PHLDA1/FBXW11/CDC25A/PPP2R1A/CDC25B/TUBA4A/PPP1CB/CDC25C/MELK/CCP110/CDK14/AJUBA/OPTN/SSNA1/CCNH/AURKA/AKAP9/BACH1/PPME1/CSNK1D/CHEK2/CEP250/CLASP1/PCNT/BTRC/PLK4/ODF2/PLK1/BORA/PLK3/CSNK1E/MASTL/TUBG1/CKAP5/CCNA2/LATS1/CCNY/CEP63/MNAT1/FBXL7/BRSK2/CUL1/PKMYT1/ARPP19/FOXM1/CCNB2/CCNB1/UBC/UBB/CEP70/PRKAR2B/CDK5RAP2/CEP72/NEK2/CEP76/CEP192/CEP78/SKP1/PRKACA/PPP1R12A/PPP1R12B/HSP90AA1/TUBB/OFD1/DNM2/CDK7/CENPJ/CDK2/PAFAH1B1/FGFR1OP/CDK1/NES/CEP41/SFI1/SDCCAG8/KHDRBS1/YWHAG/ABCB1/YWHAE/CETN2/CEP164/ACTR1A/CNTRL/CEP290/RPS27A/DYNC1I2/CEP57/CEP135/DYNLL1/CDKN2B/NDE1/MBD1/CEP131/HAUS5/HAUS4/HAUS7/HAUS6/HAUS1/FBXL15/TUBB4B/HAUS3/TUBB4A/HAUS2/TPD52L1/WEE1/NEDD1/UBA52/DYNC1H1/PLCB1/MAPRE1/TAF2/KDM8/DCTN3/CDKN1A/DCTN2/ALMS1/DCTN1/PPP2R2A/TUBA1A/USH1C/HAUS8/ENSA/CEP152/RAB8A/NINL/LCMT1,AURKA/AKAP9/CEP250/PCNT/UBC/PRKAR2B/CDK5RAP2/PRKACA/CDK2/CDK1/CNTRL/CEP135/RAB8A/NINL,NA,14,14/374,8.6282788635797e-07,0.00440301070408472
negative regulation of receptor-mediated endocytosis (GO:0048261),MTMR2/PCSK9/SDCBP/LRPAP1/PICALM/ATXN2/APOC1/DLG4/APOC3/APOC2/UBQLN2/UNC119/RAC1/ARF6,ARF6,NA,1,1/374,0.049248425143498,1
macroautophagy (GO:0016236),ATG10/YOD1/PRKAB1/PRKAB2/ATG14/ATG13/ATG12/PINK1/ATG16L1/LIX1/CHMP4C/CHMP4B/VPS25/ULK1/CHMP4A/STAM2/SQSTM1/PLAA/TECPR1/VPS28/PRKN/PRKAA2/MTMR3/EI24/STX17/TMEM74/TOMM20/ZFYVE1/PRKAA1/TOMM22/LAMP2/MFN2/MVB12A/VPS16/MFN1/ATG3/GABARAPL2/GABARAPL1/LIX1L/VTA1/MTERF3/TOMM70/VPS37D/STAM/VPS37B/SNF8/VPS37C/VPS37A/HGS/VAMP8/CSNK2B/CHMP2B/CHMP3/CHMP2A/CHMP6/TSG101/GABARAP/VCP/UBC/C6ORF106/UBB/ATG7/ATG5/ATP13A2/WIPI1/WIPI2/ATG4B/PIK3C3/TOMM5/TOMM6/TOMM7/PLEKHF1/PLEKHF2/VPS4A/VPS4B/PIK3R4/MAP1LC3A/MAP1LC3C/MAP1LC3B/ATG101/FUNDC1/SNAP29/RPS27A/UBXN6/DYNLL1/CSNK2A2/CSNK2A1/VPS33A/DYNLL2/TBC1D5/NBR1/PGAM5/VDAC1/UBA52/VMP1/BECN1/SRC/TOMM40/MTMR14/PRKAG2/TCIRG1/RB1CC1/PRKAG3/SNX14/PRKAG1/AMBRA1/CLN3/EPG5/UBQLN1/VPS36,TOMM70/CSNK2B/CHMP2A/UBC/PLEKHF2/CSNK2A2,NA,6,6/374,0.0237826449555581,1
negative regulation of neuron projection development (GO:0010977),MYLIP/ZNF365/RHOA/TRPV4/LINGO1/RTN4RL1/RTN4RL2/RUFY3/PTPN9/FKBP4/EPHA4/STX1B/RTN4/PTPRS/KANK1/RTN4R/PTPRO/LRP4/CIB1/THY1/ADCY6/EFNB3/EFNB2/DPYSL3/SPOCK1/DENND5A/RAB29/KIAA0319/NGFR/DCC/WNT3A/MCF2/PAQR3/OMG/CBFA2T2/GAK/ERCC2/OSTN/ITM2C/SEMA3A/GDI1/HDAC2/GFI1/CRMP1/PTEN/LPAR1/ARHGDIA/BAG5/STMN2/TNFRSF8/APOE,RHOA/RTN4/HDAC2/BAG5,NA,4,4/374,0.00989219049725064,1
positive regulation of ERBB signaling pathway (GO:1901186),HIP1/RTN4/AFAP1L2/ARAP1/PTK6/PLAUR/MMP9/AGT/CBL/ART4/RBPJ/UBC/UBB/HIP1R/SHKBP1/NUP62/GPER1/AKT1/HAP1/AGR2/UBA52/CNOT9/RPS27A,RTN4/UBC/NUP62/AKT1,NA,4,4/374,0.000255368377871219,1
regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043122),CD4/RBCK1/OPTN/TRIM13/NLRX1/SLC35B2/NOD1/NOD2/TFG/CPNE1/S100A13/WLS/S100A12/APOL3/NDFIP1/NDFIP2/PLK2/PRKCB/PRKD1/TMEM9B/MAPKBP1/BCL10/IFIT5/EDA2R/LPAR1/GJA1/ZC3H12A/TBK1/LGALS1/NUP62/MIER1/HMOX1/TSPAN6/TNFSF10/LGALS9/RHOA/CCL21/CARD9/RHOH/CARD8/SIRT1/RHOC/IL1A/IL1B/BST2/GPRC5B/TLR9/REL/TLR6/CC2D1A/CD40/SLC44A2/OTUD7B/SECTM1/LITAF/OTUD7A/MTDH/TRIM8/TRIM5/CASP10/TMED4/FADD/RIPK2/CCR7/RIPK1/RPS27A/ADIPOQ/BRD4/STAT1/ZDHHC13/NR1H4/ZDHHC17/DAB2IP/MIB2/FKBP1A/NLRP14/NLRP13/NLRP12/NLRP11/NLRP10/PER1/F2RL1/PELI2/PELI1/UBE2V1/ECM1/TRAF3IP2/GSTP1/SLC20A1/AKAP13/IKBKB/RIOK3/CCL19/IKBKG/IKBKE/MAP3K3/CD74/TLE1/UNC5CL/WNT5A/MUL1/SHISA5/TICAM2/MID2/TICAM1/EDAR/PINK1/C18ORF32/S100A4/SQSTM1/ROR1/UBE2N/RELA/PRKN/ZFAND6/TNF/ATP2C1/TANK/RNF31/PYCARD/NLRP9/NLRP7/NLRP8/NLRP5/NLRP6/CAPN3/FLNA/NLRP3/NLRP4/NLRP1/NLRP2/MAP3K7/F2R/NEK6/TIRAP/TNFRSF10B/ESR1/MYD88/MAVS/TRAF5/CLEC6A/TRAF6/CARD19/CCDC22/CARD16/TAB2/MAP3K14/BIRC2/BIRC3/ANKRD17/GOLT1B/FASLG/RORA/TMEM101/UBC/UBB/UBD/PIM2/TRIM62/TNFRSF19/CFLAR/IRAK4/TNIP1/TNFRSF1A/PPP5C/NFKBIA/TNIP2/EEF1D/TNIP3/BCL3/TRIM59/ZMYND11/TERF2IP/TRADD/TNFAIP3/HTR2B/NLRC3/HSPB1/INAVA/CASP8/SHARPIN/IRAK1/ECT2/CASP1/PLEKHG5/CHUK/PDPK1/S100B/PPM1A/PPM1B/VAPA/LTBR/TRIM38/TRIM32/UBA52/LTF/CANT1/GPR89A/USP10/CXXC5/MALT1/TRIM25/LURAP1/TRIM22,NLRX1/NDFIP2/TBK1/LGALS1/NUP62/HMOX1/RHOA/SLC44A2/RIPK1/BRD4/F2RL1/TLE1/TRAF6/UBC/TRIM59,NA,15,15/374,8.01632390779761e-05,0.409073009014912
"SRP-dependent cotranslational protein targeting to membrane, translocation (GO:0006616)",SRP19/SRP9/SRP72/ZFAND2B/SRP54/SEC61B,SRP19/SRP72/SRP54,NA,3,3/374,6.28196472893464e-06,0.0320568660117535
cytoskeletal anchoring at nuclear membrane (GO:0090286),SUN3/SUN2/SUN1/SPAG4/SYNE1/SYNE3/SYNE2/SUN5,SUN2,NA,1,1/374,0.0167747462928842,1
viral release from host cell (GO:0019076),PPIA/VPS4A/IST1/VPS4B/RAB7A/PPID,PPIA/RAB7A,NA,2,2/374,0.000321699005697722,1
lagging strand elongation (GO:0006273),POLA1/PARP2/LIG1/PARP3/PARP1/LIG4/DNA2/LIG3,POLA1,NA,1,1/374,0.0167747462928842,1
regulation of SNARE complex assembly (GO:0035542),PRRT2/STXBP1/TMEM27/ANKRD27/VPS41/VPS11/STXBP6/VPS16/VPS18,VPS11,NA,1,1/374,0.0212031977277593,1
positive regulation of nuclear-transcribed mRNA poly(A) tail shortening (GO:0060213),CNOT7/BTG2/ZFP36/CNOT1/AGO2/POLR2G/PABPC1/CPEB3/TOB1/TNRC6B/TNRC6C,PABPC1,NA,1,1/374,0.0313121388414287,1
cytoplasmic microtubule organization (GO:0031122),TRDN/TRPV4/AXIN1/WDR73/CRIPT/HOOK3/MAPT/KATNAL2/HOOK2/HOOK1/KATNAL1/TUBGCP6/TUBGCP4/TUBGCP5/CEP126/MAP10/VPS4A/VPS4B/FIGN/SLAIN2/CIB1/SLK/SPAST/CHORDC1/FSD1/CLASP1/ATAD1/CCDC13/MBD1/PLK3/KATNA1/RAB11A/CCDC88C/CCDC88B/KPNB1/DLG1/CCDC88A/EZR/DYNC1H1/TUBGCP2/TUBGCP3/NUMA1/STMN3/CAMSAP1/CAMSAP2/CAMSAP3/FIGNL2/FIGNL1,HOOK1/TUBGCP2/TUBGCP3,NA,3,3/374,0.0348403896391593,1
cellular response to reactive nitrogen species (GO:1902170),KCNC2/MMP3/CDK2/DPEP1/MT3/MTR/AQP1/FOXO1,CDK2,NA,1,1/374,0.0167747462928842,1
endoplasmic reticulum mannose trimming (GO:1904380),EDEM2/SEL1L/DERL2/AMFR/SYVN1/RNF5/MARCH6/RNF103/UBC/OS9/RNF139/UBB/MAN1B1/RNF185/UBA52/RPS27A/UGGT2/UGGT1/TRIM13,UBC/OS9/UGGT2,NA,3,3/374,0.00124349183059862,1
intracellular transport of virus (GO:0075733),NUP214/NDC1/NUP210/NUP133/NUP93/NUP50/NUP98/NUP54/CD209/UBAP1/NUP58/CLEC4M/RAN/VPS28/NUP205/SEH1L/NUP160/NUP43/NUP85/KPNA7/MVB12B/MVB12A/KPNA5/NUP88/RAE1/KPNA3/KPNA4/RPS27A/KPNA1/KPNA2/RANBP2/VPS37D/NUP153/VPS37B/NUP155/VPS37C/VPS37A/KPNB1/NMT2/NUP35/UBA52/NUPL2/NUP37/TSG101/POM121/NUP107/NUP188/AAAS/XPO1/TPR/UBC/UBB/POM121C/NUP62,NUP214/NUP210/NUP98/NUP54/CD209/NUP58/NUP88/RAE1/UBC/NUP62,NA,10,10/374,1.03192998178568e-07,0.000526593869705234
beta-catenin-TCF complex assembly (GO:1904837),CREBBP/TLE4/TLE3/TCF7L2/TCF7L1/TLE2/TLE1/AXIN2/SMARCA4/PYGO2/HIST1H4A/BCL9/TCF7/LEF1/HDAC1/TRRAP/CTNNB1/KMT2D/CDC73/PYGO1/RUVBL1/RBBP5/ASH2L/TERT/KAT5/EP300/MYC/LEO1/BCL9L/MEN1,TLE3/TLE1,NA,2,2/374,0.0413720776541887,1
Golgi organization (GO:0007030),GOLGA8T/DYNC2H1/GOLGA8S/RAB2A/FBXW8/TRAPPC11/GOLPH3L/VRK1/GOLGA8K/GOLGA8N/GOLGA8M/TICAM2/RAB30/GOLGA8O/GOLGA8R/GOLGA8Q/NSFL1C/ZW10/GOLGA8F/GOLGA8H/GOLGA8J/TBC1D20/OBSL1/PI4K2B/GOLGA8B/OPTN/PI4K2A/GOLGA8A/RAB1A/STX16/USP6NL/UBXN2B/STX17/UBXN2A/DNAJC28/PDCD10/CSNK1D/CLASP1/STX6/VTI1A/TRAPPC12/STX5/RAB29/CLASP2/ATP8B4/TMED9/SURF4/COG7/LMAN1L/ATP8B3/ATP8B2/TRAPPC8/PLK3/ATP8B1/COG4/TANGO2/COG3/COG2/COG1/NPLOC4/GOLGA6B/GOLGA6A/GOLGA6D/GOLGA6C/STK25/GOLGB1/GORASP2/GORASP1/PRKD1/VAMP4/CUL7/LMAN2L/GCC2/ARL1/ARHGAP21/GOLGA5/BAG5/RAB43/DYM/GOLGA2/MYO18A/HACE1/CSNK1A1/ARFGEF1/SEC16B/SEC16A/GOLGA2P5/PLEKHM2/CDK1/ARHGEF7/SPTBN5/TMED10/LRRK2/VPS51/GOLGA8IP/TMED4/TMED3/TMED2/TMED1/TMED7/TMED6/BCAS3/TMED5/GBF1/TMED7-TICAM2/PRMT5/YWHAZ/CDC42/GAK/SEC23IP/GOLPH3/GOLGA8DP/BLZF1/VMP1/HTT/ATL2/ATL3/SYNE1/LMAN1/GOLGA8CP/LMAN2,RAB2A/RAB1A/GOLGB1/GORASP1/GCC2/BAG5/GOLGA2/CDK1/TMED5/LMAN2,NA,10,10/374,0.000294405105974585,1
protein targeting to lysosome (GO:0006622),SCARB2/VPS4A/HSPA8/NCOA4/CLU/GCC2/WASH3P/SORL1/NAGPA/AP4M1/HGS/ZFYVE16/GNPTAB/LAMP2/LARS/SNX16/NEDD4/AP3M1/RAB7A,GCC2/RAB7A,NA,2,2/374,0.0121493327342251,1
